Date,Open,High,Low,Close,Volume,Adj Close
2011-10-24,1238.71997,1292.66003,1221.06006,1285.08997,4912236000,1285.08997
2011-10-17,1224.46997,1239.03003,1191.47998,1238.25,4767664000,1238.25
2011-10-10,1158.15002,1224.60999,1158.15002,1224.57996,4555924000,1224.57996
2011-10-03,1131.20996,1171.40002,1074.77002,1155.45996,4514868000,1155.45996
2011-09-26,1136.91003,1195.85999,1131.06995,1131.42004,4960282000,1131.42004
2011-09-19,1214.98999,1220.39001,1114.21997,1136.43005,5128284000,1136.43005
2011-09-12,1153.50,1220.06006,1136.06995,1216.01001,4913056000,1216.01001
2011-09-06,1173.96997,1204.40002,1140.13,1154.22998,4649140000,1154.22998
2011-08-29,1177.91003,1230.70996,1170.56006,1173.96997,4650126000,1173.96997
2011-08-22,1123.55005,1190.68005,1121.08997,1176.80005,5309696000,1176.80005
2011-08-15,1178.85999,1208.46997,1122.05005,1123.53003,4427032000,1123.53003
2011-08-08,1198.47998,1198.47998,1101.54004,1178.81006,3865062000,1178.81006
2011-08-01,1292.58997,1307.38,1168.08997,1199.38,5268348000,1199.38
2011-07-25,1344.31995,1344.31995,1282.85999,1292.28003,4207194000,1292.28003
2011-07-18,1315.93994,1347.00,1295.92004,1345.02002,4110088000,1345.02002
2011-07-11,1343.31006,1343.31006,1306.51001,1316.14001,4153686000,1316.14001
2011-07-05,1339.58997,1356.47998,1330.92004,1343.80005,3737600000,1343.80005
2011-06-27,1268.43994,1341.01001,1267.53003,1339.67004,3901108000,1339.67004
2011-06-20,1271.50,1298.60999,1262.87,1268.44995,3977604000,1268.44995
2011-06-13,1271.31006,1292.50,1258.06995,1271.50,4093202000,1271.50
2011-06-06,1300.26001,1300.26001,1268.28003,1270.97998,3710360000,1270.97998
2011-05-31,1331.09998,1345.19995,1297.90002,1300.16003,4051132500,1300.16003
2011-05-23,1333.06995,1334.62,1311.80005,1331.09998,3519106000,1331.09998
2011-05-16,1334.77002,1346.81995,1318.51001,1333.27002,3902876000,1333.27002
2011-05-09,1340.19995,1359.43994,1332.03003,1337.77002,3907822000,1337.77002
2011-05-02,1365.20996,1370.57996,1329.17004,1340.19995,4072744000,1340.19995
2011-04-25,1337.14001,1364.56006,1331.46997,1363.60999,3523530000,1363.60999
2011-04-18,1313.34998,1337.48999,1294.69995,1337.38,3983390000,1337.38
2011-04-11,1329.01001,1333.77002,1302.42004,1319.68005,3940338000,1319.68005
2011-04-04,1333.56006,1339.45996,1322.93994,1328.17004,3977634000,1328.17004
2011-03-28,1315.44995,1337.84998,1305.26001,1332.41003,3659466000,1332.41003
2011-03-21,1281.65002,1319.18005,1281.65002,1313.80005,4018022000,1313.80005
2011-03-14,1301.18994,1301.18994,1249.05005,1279.20996,4781044000,1279.20996
2011-03-07,1322.71997,1327.68005,1291.98999,1304.28003,4133818000,1304.28003
2011-02-28,1321.60999,1332.28003,1302.57996,1321.15002,2404496000,1321.15002
2011-02-22,1338.91003,1338.91003,1294.26001,1319.88,1928012500,1319.88
2011-02-14,1328.72998,1344.06995,1324.60999,1343.01001,2517822000,1343.01001
2011-02-07,1311.84998,1330.79004,1311.73999,1329.15002,4021990000,1329.15002
2011-01-31,1276.50,1311.00,1276.50,1310.87,4345372000,1310.87
2011-01-24,1283.29004,1302.67004,1275.09998,1276.33997,4631330000,1276.33997
2011-01-18,1293.21997,1296.06006,1271.26001,1283.34998,4974835000,1283.34998
2011-01-10,1270.83997,1293.23999,1262.18005,1293.23999,4257314000,1293.23999
2011-01-03,1257.62,1278.17004,1257.62,1271.50,4731044000,1271.50
2010-12-27,1254.66003,1262.59998,1251.47998,1257.64001,2091158000,1257.64001
2010-12-20,1245.76001,1259.39001,1241.51001,1256.77002,2707105000,1256.77002
2010-12-13,1242.52002,1246.72998,1232.84998,1243.91003,4454044000,1243.91003
2010-12-06,1223.87,1240.40002,1219.50,1240.40002,4835082000,1240.40002
2010-11-29,1189.07996,1225.56995,1173.64001,1224.70996,4242568000,1224.70996
2010-11-22,1198.06995,1198.93994,1176.91003,1189.40002,3205160000,1189.40002
2010-11-15,1200.43994,1207.43005,1173.00,1199.72998,4177436000,1199.72998
2010-11-08,1223.23999,1226.83997,1194.07996,1199.20996,4298262000,1199.20996
2010-11-01,1185.70996,1227.07996,1177.65002,1225.84998,4798758000,1225.84998
